"73","2018-08-19","1","2018-01-05 10:28:19","2018-01-05 10:28:19"
"74","2018-08-26","1","2018-01-05 10:28:22","2018-01-05 10:28:22"
"75","2018-09-02","1","2018-01-05 10:29:07","2018-01-05 10:29:07"
"76","2018-09-08","1","2018-01-05 10:29:12","2018-01-05 10:29:12"
"77","2018-09-09","1","2018-01-05 10:29:15","2018-01-05 10:29:15"
"78","2018-09-16","1","2018-01-05 10:29:18","2018-01-05 10:29:18"
"79","2018-09-17","1","2018-01-05 10:29:22","2018-01-05 10:29:22"
"80","2018-09-23","1","2018-01-05 10:29:25","2018-01-05 10:29:25"
"81","2018-09-24","1","2018-01-05 10:29:29","2018-01-05 10:29:29"
"82","2018-09-30","1","2018-01-05 10:29:32","2018-01-05 10:29:32"
"83","2018-10-06","1","2018-01-05 10:29:51","2018-01-05 10:29:51"
"84","2018-10-07","1","2018-01-05 10:29:54","2018-01-05 10:29:54"
"85","2018-10-08","1","2018-01-05 10:29:56","2018-01-05 10:29:56"
"86","2018-10-14","1","2018-01-05 10:30:00","2018-01-05 10:30:00"
"87","2018-10-21","1","2018-01-05 10:30:07","2018-01-05 10:30:07"
"88","2018-10-28","1","2018-01-05 10:30:10","2018-01-05 10:30:10"
"89","2018-11-03","1","2018-01-05 10:30:44","2018-01-05 10:30:44"
"90","2018-11-04","1","2018-01-05 10:30:46","2018-01-05 10:30:46"
"91","2018-11-11","1","2018-01-05 10:30:51","2018-01-05 10:30:51"
"92","2018-11-17","1","2018-01-05 10:32:16","2018-01-05 10:32:16"
"93","2018-11-18","1","2018-01-05 10:32:25","2018-01-05 10:32:25"
"94","2018-11-23","1","2018-01-05 10:32:32","2018-01-05 10:32:32"
"95","2018-11-25","1","2018-01-05 10:32:37","2018-01-05 10:32:37"
"96","2018-12-02","1","2018-01-05 10:32:50","2018-01-05 10:32:50"
"97","2018-12-09","1","2018-01-05 10:33:36","2018-01-05 10:33:36"
"98","2018-12-15","1","2018-01-05 10:33:40","2018-01-05 10:33:40"
"99","2018-12-16","1","2018-01-05 10:33:43","2018-01-05 10:33:43"
"100","2018-12-23","1","2018-01-05 10:33:47","2018-01-05 10:33:47"
"101","2018-12-24","1","2018-01-05 10:33:50","2018-01-05 10:33:50"
"102","2018-12-30","1","2018-01-05 10:33:59","2018-01-05 10:33:59"
"103","2018-12-31","1","2018-01-05 10:34:02","2018-01-05 10:34:02"
"104","2019-01-06","1","2019-01-05 11:01:46","2019-01-05 11:02:14"
"105","2019-01-13","1","2019-01-05 11:02:40","2019-01-05 11:02:40"
"106","2019-01-14","1","2019-01-05 11:02:54","2019-01-05 11:02:54"
"107","2019-01-20","1","2019-01-05 11:03:20","2019-01-05 11:03:20"
"108","2019-01-26","1","2019-01-05 11:03:52","2019-01-05 11:03:52"
"109","2019-01-27","1","2019-01-05 11:04:05","2019-01-05 11:04:05"
