"172","アーサスヘア燕三条店","〒959-1232","新潟県燕市井土巻","3-27","","2019-03-20 14:02:37","2019-03-20 14:02:37"
"183","アドラーブル万代店","〒950-0909","新潟県新潟市中央区八千代","2丁目4-28","","2019-03-25 08:06:58","2019-03-25 08:06:58"
"184","三条かわ波","〒955-0064","新潟県三条市横町","1丁目4番37号","","2019-03-25 10:24:17","2019-03-25 10:24:17"
"185","燕市高野邸","〒959-1262","新潟県燕市水道町","1丁目4041-15","","2019-03-26 07:41:41","2019-03-26 07:41:41"
"194","IZUMI","〒955-0071","新潟県三条市本町","2丁目2-22","寿ビル　1F","2019-03-27 07:42:31","2019-03-27 07:42:31"
"199","長岡大森様整骨院","〒940-2105","新潟県長岡市緑町","1-38-433","","2019-03-28 10:34:31","2019-03-28 10:34:31"
"211","廣川美装","〒950-1142","新潟県新潟市江南区楚川","甲445-4","","2019-04-02 08:55:14","2019-07-23 08:30:30"
"214","(株)廣川美装","〒950-1142","新潟県新潟市江南区楚川","甲445-4","","2019-04-04 07:41:53","2019-04-04 07:41:53"
"216","三条直江町倉庫","〒955-0832","新潟県三条市直江町","4丁目8-21","","2019-04-04 08:08:22","2019-04-04 08:08:22"
"221","ファラオ万代店","〒950-0088","新潟県新潟市中央区万代","1丁目1-25","ヴェルドミール万代　2F","2019-04-09 07:38:59","2021-06-26 07:53:26"
"223","(株)サンビルサービス","〒955-0033","新潟県三条市西大崎","1-15-14","","2019-04-10 07:42:06","2019-04-10 07:42:06"
"226","ビストロダイニングVG加茂店","〒959-1381","新潟県加茂市新栄町","1916-1","","2019-04-10 09:11:29","2019-04-10 09:11:29"
"229","手作りパン　クレール","〒950-0151","新潟県新潟市江南区亀田四ツ興野","2丁目5-2","","2019-04-12 08:48:25","2019-04-12 08:48:25"
"230","笑楽亭","〒954-0111","新潟県見附市今町","4丁目752-1","","2019-04-12 15:18:24","2019-04-12 15:18:24"
"232","前山スナック","","新潟県三条市本町","1丁目2-29","","2019-04-12 15:47:49","2019-04-12 15:47:49"
"243","アリエールグー","〒950-0932","新潟県新潟市中央区長潟","1203-1","","2019-04-18 07:38:59","2019-04-18 07:38:59"
"245","ライフタウン県央","〒955-0092","新潟県三条市須頃","1丁目地内","","2019-04-18 16:50:17","2019-04-18 16:50:17"
"255","マテリアルカフェ　イオンモール新潟南店","〒950-0150","新潟県新潟市江南区下早通柳田","1-1-1","イオンモール新潟南3F","2019-04-22 07:45:03","2019-04-22 07:45:03"
"257","新潟県立月ケ岡特別支援学校","〒955-0803","新潟県三条市月岡","4935","","2019-04-22 14:36:17","2019-04-22 14:36:17"
"260","みのわ上越店","","","","","2019-04-23 07:37:58","2019-04-23 07:37:58"
"261","阿賀野市　井上邸","〒959-2217","新潟県阿賀野市新保","181","","2019-04-23 08:41:02","2019-04-23 08:41:02"
"262","クロエ長岡旭岡店","〒940-0840","新潟県長岡市旭岡","2丁目97番地","ルージェス旭岡A-1","2019-04-24 07:44:09","2019-04-24 07:44:09"
"267","小須戸美容室","〒956-0101","新潟県新潟市秋葉区小須戸字町浦","3525-3","","2019-04-24 08:40:24","2019-04-24 08:40:24"
"268","燕三条駅観光物産センター","〒955-0093","新潟県三条市下須頃","502-3","JR燕三条駅2F","2019-04-24 09:30:55","2019-04-24 09:30:55"
"269","楽三楽水","〒959-1232","新潟県燕市井土巻","3丁目211","アパヴィラホテル燕三条駅前1F","2019-04-24 14:57:52","2019-04-24 14:57:52"
"277","麺屋坂本01新潟店","〒950-0086","新潟県新潟市中央区花園","1丁目7-10","ホテルリブマックス新潟駅前1F","2019-04-26 07:42:45","2019-04-26 07:42:45"
"280","サンモール東新町","〒940-0022","新潟県長岡市東新町","1丁目1-5","サンモール東新町","2019-04-26 10:03:29","2020-01-15 19:22:09"
"282","NIQ","〒950-0901","新潟県新潟市中央区弁天","2丁目4-19","","2019-04-26 20:13:55","2019-04-26 20:13:55"
"294","美容室プレシャス","〒955-0055","新潟県三条市塚野目","5丁目7-20","","2019-05-08 07:45:13","2019-05-08 07:45:13"
"296","自社","","","","","2019-05-08 08:12:25","2019-05-08 08:12:25"
"297","(株)カーテック新潟支店","〒950-1244","新潟県新潟市南区上塩俵","1911","","2019-05-08 09:02:23","2019-05-08 09:02:23"
"298","LUVISM長岡店","〒940-2021","新潟県長岡市宮関","1丁目2番5号","リバーインビル1F・2F","2019-05-08 10:53:12","2022-09-06 13:35:29"
"301","グリーンミナミ県庁前","〒950-0964","新潟県新潟市中央区網川原","1丁目2番15号","グリーンミナミ県庁前","2019-05-10 07:40:14","2019-05-10 07:40:14"
"304","ココカラファイン万代店","〒950-0088","新潟県新潟市中央区万代","1-3-10","新潟万代ビル1F2F","2019-05-14 08:19:46","2019-05-14 08:19:46"
"306","グラディス","〒950-0087","新潟県新潟市中央区東大通","1丁目2-11","肉昭ビル3F","2019-05-15 11:41:47","2019-05-15 11:41:47"
"317","らーめん一番星","〒959-1261","新潟県燕市秋葉町","1丁目2-29","","2019-05-21 08:17:54","2019-05-21 08:17:54"
"319","(株)Ｋ・ハートデザイン","〒955-0092","新潟県三条市須頃","3丁目119番地","","2019-05-21 08:22:02","2019-05-21 08:22:02"
"323","片岡邸(燕市)","〒959-1234","新潟県燕市南","3丁目3-6","","2019-05-22 07:41:40","2019-05-22 07:41:40"
"324","(株)コヅチ","〒955-0055","新潟県三条市塚野目","2-9-7","","2019-05-22 07:45:04","2019-05-22 07:45:04"
"330","ショー平","〒950-0901","新潟県新潟市中央区弁天","1丁目1-16","サンテラス石宮1F","2019-05-23 07:46:44","2019-05-23 07:46:44"
"340","EYELA新潟店","〒950-0088","新潟県新潟市中央区万代","1丁目3-10","新潟万代ビル3F","2019-05-25 07:49:21","2019-05-25 07:49:21"
"343","胡蝶","〒955-0071","新潟県三条市本町","2丁目2-28","","2019-05-28 07:29:51","2019-05-28 07:29:51"
"358","越前浜　渡辺邸","","","","","2019-05-31 09:57:11","2019-05-31 09:57:11"
"359","モスバーガー新潟黒埼店","〒950-1101","新潟県新潟市西区山田","2307","","2019-05-31 10:00:54","2019-05-31 10:00:54"
"360","物見山ダンススタジオ","〒950-0021","新潟県新潟市東区物見山","3-2-8","","2019-05-31 10:29:22","2019-05-31 10:29:22"
"361","本町魚屋","〒951-8067","新潟県新潟市中央区本町通","1105","","2019-05-31 10:36:03","2019-05-31 10:36:03"
"371","大桃邸","〒955-0813","新潟県三条市袋","417-1","","2019-06-05 13:41:59","2019-06-05 13:41:59"
"374","倉嶋邸","〒950-0000","新潟県新潟市北区すみれの","3-8-3-9","","2019-06-06 07:38:06","2019-06-06 07:38:06"
"379","Google渋谷ストリームオフィス","〒150-0002","東京都渋谷区渋谷","3丁目21-3","渋谷ストリーム","2019-06-12 07:43:03","2019-06-12 07:43:03"
"385","(株)タケダ","〒959-1201","新潟県燕市灰方","332","","2019-06-14 15:08:45","2019-06-14 15:08:45"
"386","にいつクリニック","〒956-0031","新潟県新潟市秋葉区新津字山谷北","5149番","","2019-06-14 15:11:55","2019-06-14 15:11:55"
"387","グラムール","〒950-0909","新潟県新潟市中央区八千代","2丁目1-1","万代シティ第二駐車場ビル1F","2019-06-14 15:14:41","2019-06-14 15:14:41"
"393","ツインスマイルクリニック","〒957-0055","新潟県新発田市諏訪町","1丁目2-11","イクネス新発田MINTO館2F","2019-06-18 07:38:27","2019-06-18 07:38:27"
"395","三条市荒井提","","","","","2019-06-18 07:41:48","2019-06-18 07:41:48"
"398","マテリアルカフェ　万代店","〒950-0088","新潟県新潟市中央区万代","1丁目6-1","万代シティバスセンター2階","2019-06-18 07:48:16","2019-06-18 07:48:16"
"401","やすらぎ提","","","","やすらぎ提","2019-06-18 08:22:19","2021-05-19 09:00:47"
"402","豪快やきとりさごっちゃん","","","","","2019-06-18 20:03:40","2019-06-18 20:03:40"
"405","ことこと","〒950-0872","新潟県新潟市東区牡丹山","","","2019-06-19 10:34:01","2019-06-19 10:34:01"
"406","東三条ハイツ","〒955-0047","新潟県三条市東三条","1丁目15-3","","2019-06-19 11:10:38","2019-06-19 11:10:38"
"413","伊藤邸(中央区笹口)","〒950-0911","新潟県新潟市中央区笹口","3丁目11-14","","2019-06-21 08:32:45","2019-06-21 08:32:45"
"414","日本海庄や燕三条店","〒955-0092","新潟県三条市須頃","2丁目115","コンフォートホテル燕三条1F","2019-06-21 08:46:52","2019-06-21 08:46:52"
"425","柳場新田倉庫","〒955-0003","新潟県三条市柳場新田","","","2019-06-24 08:04:46","2019-06-24 08:04:46"
"426","マルナオ青山ショップ","〒150-0001","東京都渋谷区神宮前","5丁目47-13","2F","2019-06-24 08:33:00","2019-07-18 10:11:07"
"434","モスバーガー新潟河渡店","〒950-0016","新潟県新潟市東区河渡本町","22-59","","2019-06-26 13:45:18","2019-06-26 13:45:31"
"441","KITCHEN　RYOMA西イオン店","〒950-2028","新潟県新潟市西区小新南","2丁目1-10","西イオン1Fフードコート内","2019-06-28 07:43:22","2019-06-28 07:43:22"
"443","内田邸","〒951-8121","新潟県新潟市中央区水道町","2-808-120","","2019-06-28 08:18:29","2021-06-09 14:10:25"
"444","スプレーザ三条","〒955-0056","新潟県三条市嘉坪川","1丁目31-15","","2019-06-28 08:22:56","2019-06-28 08:22:56"
"454","がっつり食堂ドカメン","〒950-0908","新潟県新潟市中央区幸西","2丁目1-5","","2019-07-01 16:45:03","2019-07-01 16:45:03"
"461","地蔵堂薬局","〒959-0129","新潟県燕市地蔵堂本町","3-4-6","","2019-07-03 07:47:23","2019-07-03 07:47:23"
"469","ヘアーオブシエスタ","〒953-0041","新潟県新潟市西蒲区巻甲","4163-1","","2019-07-04 19:17:54","2019-07-04 19:17:54"
"477","分水薬局","〒959-0129","新潟県燕市地蔵堂本町","3-4-6","","2019-07-09 10:41:39","2019-07-09 10:41:39"
"486","プライムカーズ","〒950-0801","新潟県新潟市東区津島屋","7-19","","2019-07-16 18:41:33","2019-07-16 18:41:33"
"490","馬場　徳偉","〒955-0033","新潟県三条市西大崎","3-10-10","","2019-07-17 12:04:11","2019-07-17 12:04:11"
"491","岡戸　一徳","〒955-0041","新潟県三条市三竹","2-15-15","","2019-07-17 13:28:43","2019-07-17 13:28:43"
"496","長岡市宝　中古住宅","〒940-0016","新潟県長岡市宝","4丁目3-14","","2019-07-18 17:05:53","2019-07-18 17:05:53"
"497","スナック莉音","","","","","2019-07-20 11:50:03","2019-07-20 11:50:03"
"503","マルタケビル","〒950-0087","新潟県新潟市中央区東大通","1丁目4-1","マルタケビル　8F","2019-07-23 10:31:48","2019-07-23 10:31:48"
"511","坪谷邸","〒959-1355","新潟県加茂市若宮町","2丁目4-4","","2019-07-29 07:32:38","2019-07-29 07:32:38"
"514","ルクール上所店","〒950-0994","新潟県新潟市中央区上所","3丁目10-65","イオンスタイル上所店敷地内","2019-07-30 10:00:47","2019-07-30 10:00:47"
"515","チェルシーガーデン","〒955-0071","新潟県三条市本町","2丁目","","2019-07-30 14:55:07","2019-07-30 14:55:07"
"516","麺処清水はなみずき店","〒950-0893","新潟県新潟市東区はなみずき","2丁目10-25","","2019-07-30 15:10:11","2019-07-30 15:10:11"
"517","寺尾　池様","〒950-2064","新潟県新潟市西区寺尾西","3丁目11-3","","2019-07-30 18:16:32","2019-07-30 18:16:32"
"523","キンヤ","〒950-0901","新潟県新潟市中央区弁天","2丁目4-1","","2019-07-31 10:23:22","2019-07-31 10:23:22"
"535","ガビーヘアルーブ","〒956-0864","新潟県新潟市秋葉区新津本町","4丁目6-22","1階","2019-08-07 07:50:07","2019-08-07 07:51:36"
"537","焼ＮＩＱ","〒950-0086","新潟県新潟市中央区花園","1丁目6-11","GEO花園　1F","2019-08-07 07:55:05","2019-08-07 07:55:05"
"547","ペットショップ　アミーゴ","","新潟県新潟市中央区紫竹山","5丁目1-20","","2019-08-16 09:39:38","2019-08-16 09:39:38"
"549","西区坂井東　布施様","〒950-2041","新潟県新潟市西区坂井東","2-11-11","","2019-08-16 11:12:14","2019-08-16 11:12:14"
"553","りとるたうん","〒955-0046","新潟県三条市興野","2丁目2-58","りとるたうん","2019-08-19 19:32:44","2019-08-19 19:32:44"
"563","青海ショッピングセンター","〒951-8067","新潟県新潟市中央区本町通","1114","青海ショッピングセンター","2019-08-22 18:41:32","2019-08-22 18:41:32"
"565","海鮮居酒屋かがり","〒951-8063","新潟県新潟市中央区古町通","8番町1499-2","","2019-08-22 18:54:42","2019-11-23 16:45:10"
"580","共栄堂薬局","〒956-0031","新潟県新潟市秋葉区新津","","","2019-08-27 15:30:54","2019-08-27 15:32:18"
"581","さわやか美容室","〒955-0081","新潟県三条市東裏館","1丁目1-57","","2019-08-27 16:35:05","2019-08-27 16:35:05"
"582","上所マンション","〒950-0994","新潟県新潟市中央区上所","1-12","上所マンション　B731号室","2019-08-27 16:45:29","2019-08-27 16:45:29"
"583","(株)ブルーオーシャン","〒955-0823","新潟県三条市東本成寺","","","2019-08-27 17:01:08","2019-08-27 17:01:08"
"584","ビルボードプレイス2","〒950-0909","新潟県新潟市中央区八千代","2丁目5-7","ビルボードプレイス2　2F","2019-08-27 18:06:46","2019-08-27 18:06:46"
"601","らーめん鯉次","〒955-0047","新潟県三条市東三条","2丁目4-6","","2019-09-02 16:54:54","2019-09-02 16:54:54"
"606","居酒屋てっちゅう","〒950-0871","新潟県新潟市東区山木戸","6丁目1-4","","2019-09-03 07:46:27","2019-09-03 07:46:27"
"608","N医院","〒951-8062","新潟県新潟市中央区西堀前通","721","","2019-09-03 10:01:17","2019-09-03 10:01:17"
"618","金子板金","〒955-0003","新潟県三条市柳場新田","403","","2019-09-06 14:53:08","2019-09-06 14:53:08"
"619","旧カリス","〒955-0071","新潟県三条市本町","2-13-18","石川ビル　1F","2019-09-06 16:18:00","2019-09-06 16:18:00"
"620","花乃亜","〒955-0071","新潟県三条市本町","2丁目3-23","ACCESS ALLEY　2F","2019-09-06 16:53:24","2019-09-06 16:53:24"
"627","エクセレント上大川前通","〒951-8068","新潟県新潟市中央区上大川前通","七番町1166","","2019-09-10 18:49:34","2019-09-10 18:49:34"
"632","モスバーガー新発田店","〒957-0065","新潟県新発田市舟入町","3丁目4-8","","2019-09-13 16:18:03","2019-09-13 16:18:03"
"638","一番星","〒955-0071","新潟県三条市本町","2丁目4-10","カネシメビル2F","2019-09-14 07:41:22","2019-09-14 07:41:22"
"641","キタ設備","","新潟県新潟市東区空港西","2-9-15","","2019-09-17 07:36:17","2019-09-17 07:36:17"
"645","パリミキ　イオン白根店","〒950-1213","新潟県新潟市南区能登","409-2","イオン白根店1F","2019-09-18 17:27:57","2019-09-18 17:27:57"
"673","大島邸","〒954-0000","新潟県見附市","","","2019-09-27 08:30:11","2019-09-27 08:30:11"
"674","万代Cafe","〒950-0088","新潟県新潟市中央区万代","1-3-1","万代シネモールビル2F","2019-09-27 17:32:32","2019-09-27 17:32:32"
"683","キャロル美容室","〒959-1234","新潟県燕市南","7丁目6343-3","","2019-10-01 07:33:07","2019-10-01 07:33:07"
"686","ヘアサロンLa-楽髪","〒957-0103","新潟県北蒲原郡聖籠町網代浜","865-2","","2019-10-01 07:38:58","2019-10-01 07:38:58"
"688","モスバーガー黒埼PA上り店","〒950-1121","新潟県新潟市西区板井","1807","黒埼PA内","2019-10-01 07:41:36","2019-12-21 16:26:59"
"694","かつや新潟出来島店","〒950-0962","新潟県新潟市中央区出来島","2丁目285番1","","2019-10-03 09:12:50","2019-10-03 09:12:50"
"698","金子　秀和","〒955-0093","新潟県三条市下須頃","1141","","2019-10-04 07:39:59","2019-10-04 07:39:59"
"701","ぜんてい亀田店","〒950-0156","新潟県新潟市江南区早苗","2丁目1-46","","2019-10-05 08:21:06","2019-10-05 08:21:06"
"705","ダムズ新発田店","〒957-0011","新潟県新発田市島潟","280-1","","2019-10-07 16:31:13","2019-10-07 16:31:13"
"706","ダムズ県央店","〒959-1232","新潟県燕市井土巻","土手外1793-1","","2019-10-07 16:32:54","2019-10-07 16:32:54"
"711","第一ビル","〒950-0087","新潟県新潟市中央区東大通","１丁目7-1","第一ビル5F","2019-10-09 07:31:51","2019-10-09 07:31:51"
"713","クロエ新発田店","〒957-0065","新潟県新発田市舟入町","2丁目4-26","","2019-10-09 08:07:37","2019-10-09 08:07:37"
"714","加茂　中原邸","","","","","2019-10-09 11:37:16","2019-10-09 11:37:16"
"724","中原　尚彦","〒959-1311","新潟県加茂市加茂新田","6290番地","","2019-10-11 07:40:48","2019-10-11 07:40:48"
"736","Bar Mau","〒951-8063","新潟県新潟市中央区古町通","8-1505-5","2F","2019-10-16 07:31:47","2019-10-16 07:31:47"
"743","村将軍　本店","〒959-1371","新潟県加茂市穀町","8-5","","2019-10-17 10:00:01","2019-10-17 10:00:01"
"745","日本文理高校","〒950-2035","新潟県新潟市西区新通","1072","","2019-10-17 19:57:48","2019-10-17 19:57:48"
"760","木戸・有本司法書士事務所","〒955-0081","新潟県三条市東裏館","2丁目19-13","","2019-10-22 11:00:00","2019-10-22 11:00:00"
"766","ZARA　ラブラ新潟店","〒950-0088","新潟県新潟市中央区万代","1丁目4-8","LoveLa2　2F","2019-10-24 16:49:59","2019-10-24 16:49:59"
"806","炭とん","〒950-0087","新潟県新潟市中央区東大通","1丁目5-27","新潟セーヌビル1F","2019-11-06 11:08:50","2019-11-06 11:08:50"
"807","若旦那駅南店","〒950-0916","新潟県新潟市中央区米山","1丁目9-3","鈴木ビル1F","2019-11-06 11:15:10","2019-11-06 11:15:10"
"808","若旦那長岡駅前店","〒940-0062","新潟県長岡市大手通","1丁目3-2","","2019-11-06 11:31:30","2019-11-06 11:31:30"
"809","若旦那駅前店","〒950-0086","新潟県新潟市中央区花園","1丁目5-9","ベロウ花園1F","2019-11-06 11:35:35","2019-11-06 11:35:35"
"810","徳茶駅南店","","","","新潟駅南口","2019-11-06 11:49:21","2019-11-06 11:49:21"
"811","Station(スタシオン)","〒940-0061","新潟県長岡市城内町","2-6-21","高木ビル1F","2019-11-06 17:46:16","2019-11-06 17:46:16"
